TIME ns, IN1, OUT1
68.359, 2.157212, 3
67.383, 2.163505, 3
66.406, 2.187347, 3
65.43, 2.211189, 3
64.453, 2.235031, 3
63.477, 2.233315, 3
62.5, 2.209473, 3
61.523, 2.185631, 3
60.547, 2.161789, 3
59.57, 2.148438, 3
58.594, 2.148438, 3
57.617, 2.148438, 3
56.641, 2.148438, 3
55.664, 2.148438, 3
54.687, 2.148438, 3
53.711, 2.148438, 3
52.734, 2.148438, 3
51.758, 2.148438, 3
50.781, 2.148438, 3
49.805, 2.148438, 3
48.828, 2.148438, 3
47.852, 2.148438, 3
46.875, 2.148438, 3
45.898, 2.148438, 3
44.922, 2.148438, 3
43.945, 2.147103, 3
42.969, 2.123261, 3
41.992, 2.099419, 3
41.016, 2.075577, 3
40.039, 2.051735, 3
39.062, 2.096557, 3
38.086, 2.14424, 3
37.109, 2.191924, 3
36.133, 2.239608, 3
35.156, 2.225495, 3
34.18, 2.201653, 3
33.203, 2.177811, 3
32.227, 2.153969, 3
31.25, 2.166747, 3
30.273, 2.190589, 3
29.297, 2.214431, 3
28.32, 2.238273, 3
27.344, 2.246094, 3
26.367, 2.246094, 3
25.391, 2.246094, 3
24.414, 2.246094, 3
23.438, 2.232361, 3
22.461, 2.208519, 3
21.484, 2.184678, 3
20.508, 2.160836, 3
19.531, 2.148438, 3
18.555, 2.148438, 3
17.578, 2.148438, 3
16.602, 2.148438, 3
15.625, 2.148438, 3
14.648, 2.148438, 3
13.672, 2.148438, 3
12.695, 2.148438, 3
11.719, 2.148438, 3
10.742, 2.148438, 3
9.766, 2.148438, 3
8.789, 2.148438, 3
7.813, 2.153014, 3
6.836, 2.176856, 3
5.859, 2.200698, 3
4.883, 2.22454, 3
3.906, 2.243805, 3
2.93, 2.219964, 3
1.953, 2.196122, 3
0.977, 2.17228, 3
0, 2.148438, 3
-0.977, 2.172279, 3
-1.953, 2.196121, 3
-2.93, 2.219962, 3
-3.906, 2.243804, 3
-4.883, 2.202989, 3
-5.859, 2.155305, 3
-6.836, 2.107621, 3
-7.813, 2.059937, 3
-8.789, 2.050781, 3
-9.766, 2.050781, 3
-10.742, 2.050781, 3
-11.719, 2.050781, 3
-12.695, 2.067756, 3
-13.672, 2.091598, 3
-14.648, 2.11544, 3
-15.625, 2.139282, 3
-16.602, 2.133751, 3
-17.578, 2.10991, 3
-18.555, 2.086068, 3
-19.531, 2.062226, 3
-20.508, 2.063178, 3
-21.484, 2.08702, 3
-22.461, 2.110862, 3
-23.438, 2.134704, 3
-24.414, 2.158546, 3
-25.391, 2.182388, 3
-26.367, 2.206229, 3
-27.344, 2.230071, 3
-28.32, 2.238274, 3
-29.297, 2.214432, 3
-30.273, 2.19059, 3
-31.25, 2.166749, 3
-32.227, 2.142907, 3
-33.203, 2.119065, 3
-34.18, 2.095223, 3
-35.156, 2.071381, 3
-36.133, 2.054023, 3
-37.109, 2.077865, 3
-38.086, 2.101707, 3
-39.063, 2.125549, 3
-40.039, 2.148438, 3
-41.016, 2.148438, 3
-41.992, 2.148438, 3
-42.969, 2.148438, 3
-43.945, 2.148438, 3
-44.922, 2.148438, 3
-45.898, 2.148438, 3
-46.875, 2.148438, 3
-47.852, 2.148438, 3
-48.828, 2.148438, 3
-49.805, 2.148438, 3
-50.781, 2.148438, 3
-51.758, 2.148438, 3
-52.734, 2.148438, 3
-53.711, 2.148438, 3
-54.688, 2.148438, 3
-55.664, 2.148438, 3
-56.641, 2.164077, 3
-57.617, 2.187919, 3
-58.594, 2.211761, 3
-59.57, 2.235603, 3
-60.547, 2.232743, 3
-61.523, 2.208901, 3
-62.5, 2.185059, 3
-63.477, 2.161217, 3
